name,PBRS,PB,PR,PS,highInbreedingPadrillos,inbreedingCoefficient,mother,Momsiblings,uncles,dams_parents_career,lote,padrillo,M,birth_eday,PRS,haras,link,sex
ALDEA BOMB,.041303556,.77096975,.80147207,.064753354,"PE, R, I, S",.0413462637591639,-.031078037,-.05451658,-.011185102,.074579574,1,HIT IT A BOMB (USA),ALDEA NISTEL,17jul2019,.13215844,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
ALZEHBA (USA),.015265478,.20346847,.84137779,.086272761,"DB, I, J",.0384868549078809,.0069012083,.21641776,-.049102053,-.013965704,29,ELUSIVE QUALITY (USA),AQAARID (USA),11feb2005,.032625031,Santa Inés,remates/listado/102,1
ARDE LA CIUDAD,.013668569,.35739326,.80885565,.045769703,,.0362312542915549,-.023639452,-.066051431,-.063578933,-.044883072,2,STORMY ATLANTIC (USA),ARDE TROYA,01oct2012,.036218867,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
ARISA,.019497514,.37511715,.79681265,.063117109,J,.0333528098347882,-.019456264,-.05451658,-.011887267,.05133412,9,ORPEN (USA),ASPEN DAYS,04sep2016,.031588856,Santa Inés,remates/listado/102,1
ART ACADEMY,.012526084,.35600752,.77150655,.044114318,E,.0379032087924537,-.092952117,-.021486979,-.04199741,-.063188344,23,PUERTO ESCONDIDO,ARTISTICA,03oct2020,.039022986,Santa Inés,remates/listado/102,1
ARTIGLIARI,.018988887,.41225773,.80911195,.055143926,"S, SDA",.033820122723177,-.025217284,-.05451658,.0127916,-.039474033,3,EASING ALONG (USA),AFRIKANA,27sep2018,.025523202,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
ASPEN ROSE,.017232008,.3370541,.81335318,.060740571,"CT, S, SDA",.0310109780843309,-.021005917,-.021486979,-.014109045,-.0071323738,19,JOHN F KENNEDY (IRE),ASPEN DAYS,05aug2018,.057573147,Santa Inés,remates/listado/102,1
BALANTRIA,.018073205,.36406571,.84894764,.056590877,"DB, J",.0347392004353221,-.013811294,-.021486979,.013046756,-.067372382,3,HURRICANE CAT (USA),BASKA HERMOSA,24aug2020,.024611536,Santa Inés,remates/listado/102,1
BASKA HERMOSA,.010169978,.25287113,.8020435,.04859658,EO,.029346041939543,-.036521748,.058517296,-.012229215,-.15479283,25,ENGRILLADO,DARK BEAUTY,24sep2005,.01584159,Santa Inés,remates/listado/102,1
BASKA LINDA,.015696408,.38462126,.80097729,.049043946,"ES, LB, PE, SS, M, SDA",.0351996397782415,-.025217284,-.05451658,-.0045195371,-.10498442,10,EQUAL STRIPES,BASKA HERMOSA,11oct2018,.014947883,Santa Inés,remates/listado/102,1
BESUQUEIRA,.020697581,.38760892,.80174625,.064520948,DB,.0352381572194546,-.047017213,.089123935,-.00097948313,-.067372382,4,ZENSATIONAL (USA),STORMY BEAM,02jul2012,.038211904,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
BOMBA CURSI,.047661245,.70509648,.81131655,.08084555,"PE, SDA",.0344993516521173,.087913305,-.05451658,-.011185102,.063461512,5,HIT IT A BOMB (USA),CURSI NISTEL,05jul2018,.09636452,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
BOU SIGEN,.028970286,.70056599,.78553766,.050924163,"A, SC",.0340276794328626,-.092952117,-.021486979,-.035569403,-.004650021,6,SEAHENGE (USA),BOUCLETTE NISTEL,02jul2021,.086787328,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
CAMBIA Y JUEGA,.018287862,.38769653,.80822688,.056526814,J,.0346950183586798,-.025217284,-.05451658,.030142017,-.041109506,7,VIOLENCE (USA),CAMBIO Y FUERA,25jul2018,.028175019,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
CARISIMA EMPER,.032091487,.55296737,.82138568,.068293571,"SS, E, M, SDA",.0334070577115092,-.0069799088,.091947228,-.019493066,-.049800523,8,EMPEROR JONES (USA),CARA Y LINDA,23jul2010,.066136733,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
CASSIA ANTICA,.0161232,.33878207,.82683241,.055751145,SDA,.028502049983844,-.030472524,-.021486979,-.0052298307,-.046168,12,CATCHER IN THE RYE (IRE),COSTA MAYA,17aug2018,.022169005,Santa Inés,remates/listado/102,1
CITY LION (USA),.0091827074,.18285947,.77212423,.063036405,"EO, S",.0401286167586679,-.036521748,.13334194,-.049102053,-.05904416,9,LION HEART,CITY HYLTON,11feb2006,.030956693,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
CITY MAP,.023061579,.33002281,.79861522,.084886208,SC,.0357137840791733,.091696143,.039236356,-.0029043891,-.013965704,10,ZENSATIONAL (USA),CITY LION (USA),08oct2012,.030752856,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
COCOQ,.012701189,.3792679,.76557702,.042666093,"UM, R, SA",.0354366387358303,-.025217284,-.021486979,-.043269884,-.13844211,11,IL MERCATO,CITY MAP,28sep2021,.02249223,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
COQUET HIT,.027355831,.40629482,.83719522,.078220844,"PE, EO",.0374189890311906,-.036422957,-.021486979,-.011185102,.14534882,11,HIT IT A BOMB (USA),GRAND COQUETTE,04oct2021,.090237953,FIRMAMENTO,/remates/venta-training-haras-firmamento-1/lotes,1
CUANTICA,.011352992,.21677358,.81510055,.06221839,"ES, LB, SS",.0371051980750703,-.024486184,.1448051,-.05133668,-.10929022,12,INTERPRETE,CUPULA,08sep2004,.016852582,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
CUIDADIOSA,.040978201,.72895557,.821226,.066508062,C,.0336816132339418,-.013811294,-.05451658,.040395975,.022539373,13,CAMPANOLOGIST (USA),CUIDADOSA HALO,02aug2016,.062012564,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
DELICADA GLORY,.035631213,.64908224,.82433248,.064527698,E,.0331650968423796,-.0059843063,.023486611,-.048070729,.00017561764,14,HONOUR AND GLORY (USA),DISTINGUIDA FITZ,06sep2010,.044078737,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
DEVOTIONAL,.016508086,.22299105,.80215782,.089402601,"CT, J",.0366051059307261,-.025217284,.076174304,.062542312,.032807492,15,STORMY ATLANTIC (USA),DEVOTION UNBRIDLED (USA),03aug2012,.021976281,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
DIXIE MASK,.019688386,.39012149,.83400917,.058742885,,.0313843115815249,-.025217284,-.05451658,.0189384,-.013965704,16,EASING ALONG (USA),DIXIE WITCH (USA),19aug2018,.036742687,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
DONA CANDY,.013055906,.41694191,.78828806,.038373705,"DB, J",.0375266874059435,-.092952117,-.05451658,-.017496847,-.11282835,17,STORM EMBRUJADO,SWEET HARD CANDY (USA),18jul2018,.0057069617,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
ELLIJAY,.012008317,.37006611,.75759828,.041486293,,.0382568037957275,-.025217284,-.021486979,-.043269884,-.15509856,18,IL MERCATO,EXPEDIA,18aug2021,.02430753,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
EMBELLISH,.010654665,.20327397,.79141885,.064156786,,.0341343053035201,-.0094417296,.071664527,-.03277126,-.05904416,19,EDITOR'S NOTE (USA),EMBRASABLE,02aug2005,.020954713,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
EMBRIDA,.016056765,.30489278,.82742584,.061618853,M,.0364346667990528,-.0094417296,.068353519,-.055220991,-.056280017,20,LIZARD ISLAND (USA),EMBRACE ME,27jul2010,.02946269,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
EMISARIA,.011774972,.16793811,.81109595,.083617143,"ES, LB, SS, SC, M",.0304084954801841,-.02568974,.19748721,-.052309729,-.012433697,21,ROY (USA),EARLY KIT,23oct2002,.07453303,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
ENJOY CRAF,.044243276,.7063781,.8198778,.074256293,F,.0367268104077871,-.046398696,-.05451658,-.0055690184,.15564644,22,MASTERCRAFTSMAN (IRE),ENJOY ROMA,24oct2017,.062627733,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
ENTRETIEMPO,.020931283,.37930739,.81660324,.065426722,SC,.038709161787751,-.008158382,-.097198829,.093979716,-.013965704,23,EXCHANGE RATE (USA),ENTRANCED (USA),02oct2012,.095615551,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
ENUNCIATIVA,.017253995,.34936604,.81132537,.058977447,PE,.0353928986911538,-.021005917,-.021486979,.031967498,-.067372382,2,FORTIFY (USA),ENUNCIADA,02sep2019,.022882601,Santa Inés,remates/listado/102,1
ESLOVENIA,.019457398,.34506172,.8355068,.066201836,"A, IM",.032007672685735,.0059739091,-.021486979,.0066548362,-.013965704,6,HURRICANE CAT (USA),ANNABELLE (USA),12sep2019,.02526135,Santa Inés,remates/listado/102,1
ESPACIADORA,.01149049,.27484325,.82790029,.048836075,I,.0340280358655159,-.036521748,-.15385754,-.026128992,.052055798,24,GIANT'S CAUSEWAY (USA),ESPANTADA (USA),05aug2009,.031359117,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
EVATINA,.01408177,.26998347,.8151648,.061933085,"ES, LB, PE, SS",.0331563045837196,-.036521748,-.097564131,.080643907,-.012936525,25,ORPEN (USA),EVER BEAUTY,15aug2010,.10686953,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
EXPEDIA,.01569343,.29629201,.84865755,.060481951,A,.0402731113085915,-.036521748,-.024649616,.0127916,-.013965704,26,EASING ALONG (USA),LIGHTLY EXPRESSED (USA),09oct2013,.043385714,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
FANCY KITTY,.017686186,.35235405,.83356369,.058288306,LB,.0308161722531794,.0059739091,-.096465603,.023269743,-.013965704,27,EASING ALONG (USA),FANCY TALE (USA),25oct2013,.070192695,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
FIDENZA,.018655173,.35179064,.78542674,.066225111,"IM, I",.0380637061961756,-.025217284,-.021486979,.055367894,-.026520677,22,PUERTO ESCONDIDO,POLOMA (USA),21oct2021,.023120444,Santa Inés,remates/listado/102,1
FOLLONICA,.021239502,.40466049,.83960176,.060527813,I,.0355032813294865,-.005838247,-.051907144,.0009701252,-.00047966093,28,ZENSATIONAL (USA),FOTOGRAFICA,11sep2013,.061047222,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
FOR MY LADY,.031787965,.40283063,.84868723,.091489889,IM,.026270550262288,.12753306,.046501819,-.0052298307,-.013965704,13,CATCHER IN THE RYE (IRE),FOREVER INDY (USA),13sep2014,.015426187,Santa Inés,remates/listado/102,1
GREEICY,.018284945,.40058836,.84592021,.052277144,SDA,.0398275726359045,-.019456264,-.021486979,-.045052774,-.049437728,29,BODEMEISTER (USA),GREY'S ANATOMY,18oct2020,.012225011,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
HALLOWEEN NIGHT,.02628806,.33854932,.78646708,.095888451,PE,.0357327074487428,.076635361,.061080802,-.01069133,.056194089,20,JUMP START (USA),HALLOWEEN DANCE (USA),11sep2012,.06216095,Santa Inés,remates/listado/102,1
HARLAN'S ANGELIC,.055332657,.67429572,.79759359,.10038759,SB,.0305211473700478,-.074109063,.14891416,.077987835,.060190871,30,HARLAN'S HOLIDAY (USA),KWANZAN (USA),03aug2011,.026433483,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
HIDILYN,.015303456,.33914781,.81437439,.053747647,,.0329520128407,-.025217284,-.021486979,-.0095519274,-.063178182,31,EQUAL STRIPES,HEART TO HEART,22jul2021,.020410251,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
HIGHFEVER BOMB,.038586505,.74301124,.81959456,.06199966,"UM, SA",.0358380521001133,-.047017213,-.021486979,-.011185102,.032855898,32,HIT IT A BOMB (USA),HIGHFEVER,28oct2020,.049173318,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
HIT BOUCLETTE,.037082009,.70469838,.79242021,.064410433,"E, SDA",.0366432318479484,-.025217284,-.05451658,.0012287013,.044812333,33,HIT IT A BOMB (USA),BOUCLETTE FITZ,12jul2018,.07239034,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
ICONO HIT,.02154148,.39918047,.83519387,.063990936,"IM, SA",.0329888631193979,-.092952117,-.021486979,.027833641,.044812333,10,HIT IT A BOMB (USA),CUIDADOSA HALO,19aug2021,.11726282,FIRMAMENTO,/remates/venta-training-haras-firmamento-1/lotes,1
IMAGINAME LINDA,.014340091,.31864679,.84841084,.051426087,,.033820210055015,-.036521748,-.0015348122,-.056399982,-.046866201,34,EASING ALONG (USA),RUBIA PRETTY,24jul2011,.11506598,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
INSTAGRAMADA,.018738633,.39193007,.84194028,.05498901,"ES, LB, SS",.0329320235595982,-.092952117,-.021486979,-.045052774,.038750909,35,BODEMEISTER (USA),ILLEGALLY BLONDE,15aug2020,.035731867,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
IVANNE,.017065383,.37846833,.84013844,.052595604,"EO, SA",.0346550255469032,-.025217284,-.021486979,-.013635416,-.067372382,36,MANIPULATOR (USA),ILUSION OPTICA,22jul2021,.018217912,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
JOYA GAUCHA,.018869448,.3895182,.80374944,.058245327,M,.0333446301488161,-.032074563,-.05451658,.061490424,-.0569105,11,EXCHANGE RATE (USA),JOYA SURERA,19oct2014,.020793073,Santa Inés,remates/listado/102,1
KATALIN,.016810155,.34905982,.82083851,.056909483,"EO, DB, J",.0328541120720859,-.025217284,-.021486979,.034008838,-.067372382,16,IL CAMPIONE (CHI),KATY ROSE,06jul2021,.053518455,Santa Inés,remates/listado/102,1
