link,name,studbook_id,padrillo,producto,criador,primer_servicio,ultimo_servicio,servicios,nacimientos,efectividad,servicios_adj,nacimientos_adj,efectividad_adj
https://www.studbook.org.ar/ejemplares/perfil/329314/barbarisima,BARBARISIMA,329314,PERRO CALLEJERO,VACIO,-,23/09/2024,2024-09-23,7,5,71.43/100,6,4,0.67
https://www.studbook.org.ar/ejemplares/perfil/421981/bionda-bella,BIONDA BELLA,421981,TOUAREG,VACIO,-,30/09/2024,2024-09-30,1,0,0.00/100,0,0,0.0
https://www.studbook.org.ar/ejemplares/perfil/334186/calcolatrice,CALCOLATRICE,334186,DADDY LONG LEGS (USA),GARNACHA,Avilez Salas Oswaldo Antonio,17/09/2023,2023-09-17,6,5,83.33/100,6,5,0.83
https://www.studbook.org.ar/ejemplares/perfil/303356/caraluna,CARALUNA,303356,UNCLE CHUCK (USA),VERDOT,Avilez Salas Oswaldo Antonio,23/10/2023,2023-10-23,10,9,90.00/100,10,9,0.9
https://www.studbook.org.ar/ejemplares/perfil/347665/circostanza,CIRCOSTANZA,347665,JAPAN (USA),VACIO,-,05/11/2022,2022-11-05,5,3,60.00/100,5,3,0.6
https://www.studbook.org.ar/ejemplares/perfil/402887/conni-craf,CONNI CRAF,402887,HIT IT A BOMB (USA),EL COSTILLAR,Juan Antonio,29/10/2023,2023-10-29,3,3,100/100,3,3,1.0
https://www.studbook.org.ar/ejemplares/perfil/424537/cosmic-love,COSMIC LOVE,424537,HIPER HAPPY,VACIO,-,25/09/2024,2024-09-25,2,1,50.00/100,1,0,0.0
https://www.studbook.org.ar/ejemplares/perfil/424670/dancer-baby,DANCER BABY,424670,PERRO CALLEJERO,VACIO,-,16/10/2024,2024-10-16,1,0,0.00/100,0,0,0.0
https://www.studbook.org.ar/ejemplares/perfil/397231/enamorada-mia,ENAMORADA MIA,397231,BACKYARD HEAVEN (USA),QUISIERA QUERERTE,Juan Antonio,05/10/2023,2023-10-05,3,3,100/100,3,3,1.0
https://www.studbook.org.ar/ejemplares/perfil/397867/eventual-charity,EVENTUAL CHARITY,397867,BACKYARD HEAVEN (USA),ILUCION DE VIDA,Juan Antonio,27/10/2023,2023-10-27,2,2,100/100,2,2,1.0
https://www.studbook.org.ar/ejemplares/perfil/398538/fonetic-stripes,FONETIC STRIPES,398538,COSMIC TRIGGER,VACIO,-,05/12/2024,2024-12-05,4,3,75.00/100,3,2,0.67
https://www.studbook.org.ar/ejemplares/perfil/297246/funk-girl,FUNK GIRL,297246,HIT IT A BOMB (USA),FOMENTADOR,Santa Maria De Araras,21/10/2023,2023-10-21,10,9,90.00/100,10,9,0.9
https://www.studbook.org.ar/ejemplares/perfil/398137/indicada-girl,INDICADA GIRL,398137,CITYSCAPE (GB),VACIO,-,07/10/2023,2023-10-07,2,1,50.00/100,2,1,0.5
https://www.studbook.org.ar/ejemplares/perfil/414544/la-gran-artista,LA GRAN ARTISTA,414544,PERRO CALLEJERO,VACIO,-,08/08/2024,2024-08-08,2,1,50.00/100,1,0,0.0
https://www.studbook.org.ar/ejemplares/perfil/406225/la-unica-dama,LA UNICA DAMA,406225,UNCLE CHUCK (USA),SIGAN VIAJE,Juan Antonio,03/11/2023,2023-11-21,2,2,100/100,2,2,1.0
https://www.studbook.org.ar/ejemplares/perfil/254986/lima-de-veras,LIMA DE VERAS,254986,MOOTASADIR (GB),VACIO,-,08/08/2024,2024-09-02,17,14,82.35/100,16,13,0.81
https://www.studbook.org.ar/ejemplares/perfil/337241/monchu,MONCHU,337241,BACKYARD HEAVEN (USA),HOMBRE VENCIDO,Juan Antonio,18/11/2023,2023-11-18,6,5,83.33/100,6,5,0.83
https://www.studbook.org.ar/ejemplares/perfil/418417/not-for-stripes,NOT FOR STRIPES,418417,COOL DAY,VACIO,-,01/10/2024,2024-11-01,1,0,0.00/100,0,0,0.0
https://www.studbook.org.ar/ejemplares/perfil/398958/obona,OBONA,398958,MANIPULATOR (USA),VACIO,-,19/09/2023,2023-09-19,2,1,50.00/100,2,1,0.5
https://www.studbook.org.ar/ejemplares/perfil/306418/ola-polar,OLA POLAR,306418,PNEUMATIC (USA),PENSAR LA VIDA,Juan Antonio,13/11/2023,2023-11-13,9,8,88.89/100,9,8,0.89
https://www.studbook.org.ar/ejemplares/perfil/314367/olive-garden,OLIVE GARDEN,314367,LUTHIER BLUES,ELMER CURIO,El Trebol,04/10/2023,2023-11-09,7,7,100/100,7,7,1.0
https://www.studbook.org.ar/ejemplares/perfil/284240/one-marylin,ONE MARYLIN,284240,LUTHIER BLUES,VACIO,-,29/10/2024,2024-11-20,12,7,58.33/100,11,6,0.55
https://www.studbook.org.ar/ejemplares/perfil/419687/orellana,ORELLANA,419687,BACKYARD HEAVEN (USA),VACIO,-,26/10/2023,2023-11-15,2,1,50.00/100,2,1,0.5
https://www.studbook.org.ar/ejemplares/perfil/421027/por-siempre-vidi,POR SIEMPRE VIDI,421027,TOUAREG,VACIO,-,14/09/2024,2024-09-14,1,0,0.00/100,0,0,0.0
https://www.studbook.org.ar/ejemplares/perfil/406935/powerful-wil,POWERFUL WIL,406935,LUTHIER BLUES,ELVIS TEK,El Trebol,09/11/2023,2023-11-09,2,1,50.00/100,2,1,0.5
https://www.studbook.org.ar/ejemplares/perfil/414708/que-suene-el-himno,QUE SUENE EL HIMNO,414708,TOUAREG,VACIO,-,15/09/2024,2024-09-15,1,0,0.00/100,0,0,0.0
https://www.studbook.org.ar/ejemplares/perfil/310389/roman-lula,ROMAN LULA,310389,DON EMPEÑO,VACIO,-,26/08/2024,2024-08-26,8,7,87.50/100,7,6,0.86
https://www.studbook.org.ar/ejemplares/perfil/306387/talking-about-it,TALKING ABOUT IT,306387,PERRO CALLEJERO,VACIO,-,15/08/2024,2024-08-15,9,7,77.78/100,8,6,0.75
https://www.studbook.org.ar/ejemplares/perfil/283723/tattoum,TATTOUM,283723,IMPERADOR,TRAMPOSO BOONE,Santa Maria De Araras,05/09/2023,2023-09-05,12,11,91.67/100,12,11,0.92
https://www.studbook.org.ar/ejemplares/perfil/315367/triumph-of-love,TRIUMPH OF LOVE,315367,DANIEL BOONE (BRZ),TESALIMA,Santa Maria De Araras,15/08/2023,2023-08-15,9,6,66.67/100,9,6,0.67
https://www.studbook.org.ar/ejemplares/perfil/307371/valerisca,VALERISCA,307371,DON EMPEÑO,VACIO,-,10/08/2024,2024-08-10,9,7,77.78/100,8,6,0.75
https://www.studbook.org.ar/ejemplares/perfil/307455/viva-las-vegas,VIVA LAS VEGAS,307455,JAPAN (USA),VIL VEGAS,Santa Maria De Araras,09/11/2023,2023-11-09,10,7,70.00/100,10,7,0.7
